Company Name,Company Website,Location,Proof_link,Description
Kao Corporation,https://www.kao.com/global/en/,Japan,https://www.kao.com/global/en/newsroom/news/release/2024/20240315-001/,"A major consumer goods company focusing on personal care, health, and wellness, with regular partnership announcements."
Fancl,https://www.fancl.co.jp/,Japan,https://netshop.impress.co.jp/node/11406,Specializes in preservative‐free skincare and nutritional supplements and often collaborates with premium partners in the wellness space.
Suntory,https://www.suntory.com/,Japan,https://www.thedrinksbusiness.com/2024/12/suntory-expands-water-education-provision-target-for-2030/,A large beverage and wellness company that frequently partners on health and wellness initiatives.
Mitsubishi Tanabe Pharma,https://www.mt-pharma.co.jp,Japan,https://www.reuters.com/markets/deals/mitsubishi-chemical-sells-pharmaceuticals-subsidiary-bain-336-billion-deal-2025-02-07/,A pharmaceutical company engaged in strategic partnerships to advance innovative health and wellness solutions.
Otsuka Holdings,https://www.otsuka.co.jp/en/,Japan,https://www.reuters.com/business/healthcare-pharmaceuticals/japans-otsuka-pharma-pay-up-11-bln-acquire-jnana-therapeutics-2024-08-01/,"Parent company of well-known wellness brands like POCARI SWEAT, actively involved in strategic health collaborations."
Amorepacific Corporation,https://www.amorepacific.com/,South Korea,https://www.apgroup.com/int/en/news/2023-11-16-1.html,A major beauty and wellness company that collaborates with high-end global brands in the health and wellness sector.
Daewoong Pharmaceutical,https://www.daewoong.com/,South Korea,https://kormedi.com/1795893/,A pharmaceutical company that actively expands its health and wellness portfolio through strategic collaborations.
Celltrion Healthcare,https://www.celltrion.com/en-us,South Korea,https://www.hikma.com/news/hikma-and-celltrion-healthcare-sign-new-exclusive-licensing-agreement-for-vegzelma-for-the-middle-east-and-north-africa-region/,A biopharmaceutical company with a strong focus on strategic alliances and partnerships in the health and wellness sector.
Coreline Soft (코어라인소프트),https://www.corelinesoft.com/en/,South Korea,https://news.nate.com/view/20250212n06162,"An IT and technology company noted for its partnership announcements with premium healthcare brands, as reported in industry news."
Aster DM Healthcare,https://www.asterdmhealthcare.com/,United Arab Emirates,https://altijaramagazine.com/24055/,A prominent healthcare provider in the UAE that regularly announces partnerships with premium wellness providers.
Les Mills,https://www.lesmills.com/jp/,Japan,https://www.excite.co.jp/news/article/Prtimes_2025-02-09-114861-40/,"Les Mills offers group fitness programs like BODYPUMP and BODYCOMBAT worldwide, promoting health through innovative workouts."
"Ishii Foods Co., Ltd.",https://www.ishiifood.co.jp/,Japan,https://minkabu.jp/news/4149795,"Ishii Food Co., Ltd., founded in 1945 and headquartered in Funabashi, Japan, specializes in manufacturing and selling processed meat products, side dishes, and health-conscious foods."
Medgulf,https://www.medgulf.com.sa/home/,Saudi Arabia,https://asharqbusiness.com/economics/57722/%D9%85%D9%8A%D8%AF%D8%BA%D9%84%D9%81-%D9%88io-health-%D8%AA%D8%B9%D8%B2%D8%B2%D8%A7%D9%86-%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D8%A3%D9%85%D9%8A%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9/,Medgulf is a leading arab and regionla insurance group that provides the retail and institutional markets with comprehensive insurance coverage 
Neom,www.neom.com,Saudi Arabia,"https://www.biospectrumasia.com/news/46/25579/neom-partners-with-paradromics-to-drive-innovation-in-neurotech-healthcare-in-saudi-arabia.html#:~:text=To%20accelerate%20advancements%20in%20brain,computer%20interface%20(BCI)%20technology.",NEOM is a planned $500 billion futuristic city in northwest Saudi Arabia aimed at transforming urban living with renewable energy and advanced technologies.
Shiseido,https://www.shiseido.com/,Japan,https://www.globalcosmeticsnews.com/shiseido-launches-wellness-brand-sbw/,A leading global cosmetics and skincare company that frequently partners with premium brands in the health and wellness sector.
